,4.20%,10.30%,13%,"15,1,%",20.40%,25.60%,30.20%,35%,40%,45.40%,49.80%,59.60%,,Very Tight,Tight,Normal,Loose,Very Loose
43s,0.2674,0.318,0.3317,0.3394,0.3441,0.3481,0.353,0.3544,0.3556,0.3597,0.3623,0.3654,,0.2674,0.3057,0.3283,0.3473,0.3624
74o,0.2211,0.2749,0.2888,0.2948,0.3042,0.3094,0.3139,0.3162,0.3196,0.3253,0.3281,0.3348,,0.2211,0.2689,0.3035,0.3227,0.3318
72s,0.2289,0.2836,0.2975,0.3039,0.3148,0.3179,0.3229,0.3282,0.3301,0.3328,0.3341,0.3405,,0.2289,0.2787,0.3044,0.3236,0.3342
54o,0.2493,0.2997,0.3133,0.3208,0.3241,0.3316,0.333,0.3355,0.3411,0.3455,0.3474,0.3513,,0.2493,0.2857,0.3179,0.3377,0.3504
64o,0.2354,0.2859,0.2997,0.3072,0.3131,0.321,0.3261,0.3263,0.3313,0.3328,0.3372,0.3433,,0.2354,0.2751,0.3106,0.3301,0.341
52s,0.2558,0.3076,0.3213,0.3289,0.3342,0.3394,0.3417,0.3467,0.3505,0.352,0.3524,0.3567,,0.2558,0.2953,0.3178,0.3374,0.3522
62s,0.2425,0.2945,0.3083,0.3159,0.3231,0.329,0.3346,0.3372,0.3407,0.3397,0.3426,0.3484,,0.2425,0.2845,0.3109,0.3303,0.343
83o,0.1909,0.2549,0.2657,0.2733,0.2821,0.286,0.2906,0.2954,0.2954,0.3,0.3058,0.3149,,0.1909,0.2503,0.2747,0.2978,0.3061
42s,0.2522,0.3044,0.3183,0.326,0.331,0.3349,0.3399,0.342,0.3446,0.3466,0.3483,0.3521,,0.2522,0.2924,0.311,0.3298,0.3459
82o,0.1907,0.2543,0.2651,0.2727,0.2816,0.285,0.2898,0.2955,0.2968,0.299,0.304,0.314,,0.1907,0.2497,0.2698,0.2931,0.3022
73o,0.2049,0.2603,0.2743,0.2803,0.2914,0.2949,0.2996,0.304,0.3046,0.3097,0.3118,0.3174,,0.2049,0.2545,0.2849,0.3041,0.3141
53o,0.2336,0.2858,0.2995,0.307,0.3121,0.3178,0.3198,0.3244,0.3267,0.3305,0.3318,0.3352,,0.2336,0.2722,0.2996,0.3192,0.3334
63o,0.2193,0.2718,0.2857,0.2931,0.3004,0.3067,0.3121,0.3141,0.3164,0.3173,0.321,0.3262,,0.2193,0.2608,0.292,0.3115,0.3234
32s,0.2487,0.3008,0.3147,0.3223,0.3285,0.3312,0.3366,0.3401,0.3396,0.3414,0.3427,0.346,,0.2487,0.2888,0.3028,0.3218,0.3392
43o,0.2297,0.2822,0.2961,0.3037,0.3086,0.3127,0.3175,0.319,0.3199,0.3242,0.3268,0.3299,,0.2297,0.2688,0.2921,0.311,0.3265
72o,0.1887,0.2452,0.2595,0.2656,0.2771,0.2802,0.285,0.2904,0.2922,0.295,0.2963,0.3028,,0.1887,0.2395,0.2661,0.2852,0.2961
52o,0.2173,0.2711,0.285,0.2925,0.298,0.3033,0.3053,0.3107,0.3144,0.3159,0.3162,0.3204,,0.2173,0.2577,0.2807,0.3002,0.3155
62o,0.2031,0.2571,0.2711,0.2786,0.286,0.292,0.2976,0.3004,0.3038,0.3024,0.3054,0.3114,,0.2031,0.2458,0.2731,0.2925,0.3054
42o,0.2135,0.2677,0.2818,0.2894,0.2946,0.2986,0.3035,0.3057,0.308,0.3102,0.3118,0.3157,,0.2135,0.2545,0.2737,0.2922,0.3088
32o,0.2097,0.2638,0.2779,0.2855,0.292,0.2947,0.3,0.3037,0.3028,0.3046,0.306,0.3093,,0.2097,0.2507,0.265,0.2837,0.3017
